run_id,kernel,load_type,pred_class,latency_ms,timestamp_us
48,rt,cpu,0,4.744,1783577502716766
49,rt,cpu,0,4.256,1783577502721525
50,rt,cpu,0,4.983,1783577502726988
51,rt,cpu,0,4.647,1783577502732149
52,rt,cpu,0,4.473,1783577502737212
53,rt,cpu,0,4.681,1783577502742403
54,rt,cpu,0,4.935,1783577502747793
55,rt,cpu,0,4.256,1783577502752710
56,rt,cpu,0,4.782,1783577502758035
57,rt,cpu,0,4.695,1783577502763301
58,rt,cpu,0,4.712,1783577502768603
59,rt,cpu,0,4.707,1783577502773782
60,rt,cpu,0,4.648,1783577502779027
61,rt,cpu,0,4.469,1783577502784006
62,rt,cpu,0,4.846,1783577502789351
63,rt,cpu,0,4.555,1783577502794370
64,rt,cpu,0,4.719,1783577502799582
65,rt,cpu,0,4.527,1783577502804714
66,rt,cpu,0,4.407,1783577502809620
67,rt,cpu,0,4.893,1783577502815038
68,rt,cpu,0,5.070,1783577502820678
69,rt,cpu,0,4.665,1783577502825891
70,rt,cpu,0,4.734,1783577502831142
71,rt,cpu,0,4.627,1783577502836289
72,rt,cpu,0,4.528,1783577502841412
73,rt,cpu,0,4.925,1783577502846789
74,rt,cpu,0,4.658,1783577502852008
75,rt,cpu,0,4.667,1783577502857175
76,rt,cpu,0,4.328,1783577502861991
77,rt,cpu,0,4.943,1783577502867423
78,rt,cpu,0,4.479,1783577502872367
79,rt,cpu,0,4.763,1783577502877720
80,rt,cpu,0,4.548,1783577502882793
81,rt,cpu,0,4.609,1783577502887997
82,rt,cpu,0,4.766,1783577502893303
83,rt,cpu,0,4.471,1783577502898300
84,rt,cpu,0,4.771,1783577502903591
85,rt,cpu,0,4.892,1783577502909023
86,rt,cpu,0,4.688,1783577502914272
87,rt,cpu,0,4.689,1783577502919426
88,rt,cpu,0,4.307,1783577502924285
89,rt,cpu,0,4.734,1783577502929561
90,rt,cpu,0,5.052,1783577502935172
91,rt,cpu,0,4.825,1783577502940616
92,rt,cpu,0,4.429,1783577502945551
93,rt,cpu,0,4.496,1783577502950662
94,rt,cpu,0,4.490,1783577502955663
95,rt,cpu,0,4.933,1783577502961159
96,rt,cpu,0,4.506,1783577502966215
97,rt,cpu,0,4.106,1783577502970796
98,rt,cpu,0,4.553,1783577502975954
99,rt,cpu,0,4.027,1783577502980546
0,rt,cpu,0,3.909,1783577847193596
1,rt,cpu,0,4.077,1783577847198311
2,rt,cpu,0,3.972,1783577847202730
3,rt,cpu,0,4.433,1783577847207671
4,rt,cpu,0,4.056,1783577847212247
5,rt,cpu,0,4.066,1783577847216887
6,rt,cpu,0,3.896,1783577847221295
7,rt,cpu,0,4.062,1783577847225870
8,rt,cpu,0,3.846,1783577847230290
9,rt,cpu,0,4.017,1783577847234762
10,rt,cpu,0,3.913,1783577847239247
11,rt,cpu,0,4.202,1783577847243961
12,rt,cpu,0,4.011,1783577847248506
13,rt,cpu,0,4.029,1783577847253092
14,rt,cpu,0,4.212,1783577847257746
15,rt,cpu,0,4.173,1783577847262482
16,rt,cpu,0,4.337,1783577847267301
17,rt,cpu,0,4.146,1783577847271963
18,rt,cpu,0,4.463,1783577847276954
19,rt,cpu,0,4.089,1783577847281560
20,rt,cpu,0,4.452,1783577847286504
21,rt,cpu,0,3.673,1783577847290617
22,rt,cpu,0,3.711,1783577847294827
23,rt,cpu,0,3.782,1783577847299091
24,rt,cpu,0,3.779,1783577847303341
25,rt,cpu,0,3.780,1783577847307585
26,rt,cpu,0,3.723,1783577847311809
27,rt,cpu,0,3.544,1783577847315875
28,rt,cpu,0,3.719,1783577847320086
29,rt,cpu,0,3.829,1783577847324359
30,rt,cpu,0,3.781,1783577847328639
31,rt,cpu,0,3.828,1783577847332996
32,rt,cpu,0,3.578,1783577847337096
33,rt,cpu,0,3.963,1783577847341540
34,rt,cpu,0,4.205,1783577847346209
35,rt,cpu,0,3.768,1783577847350463
36,rt,cpu,0,3.928,1783577847354877
37,rt,cpu,0,3.455,1783577847358859
38,rt,cpu,0,3.667,1783577847362988
39,rt,cpu,0,3.815,1783577847367253
40,rt,cpu,0,3.823,1783577847371537
41,rt,cpu,0,3.580,1783577847375616
42,rt,cpu,0,3.788,1783577847379953
43,rt,cpu,0,3.883,1783577847384310
44,rt,cpu,0,3.769,1783577847388606
45,rt,cpu,0,4.091,1783577847393195
46,rt,cpu,0,3.769,1783577847397415
47,rt,cpu,0,3.898,1783577847401785
48,rt,cpu,0,3.901,1783577847406190
49,rt,cpu,0,3.672,1783577847410339
50,rt,cpu,0,3.946,1783577847414723
51,rt,cpu,0,3.877,1783577847419112
52,rt,cpu,0,3.872,1783577847423428
53,rt,cpu,0,4.134,1783577847428051
54,rt,cpu,0,3.725,1783577847432231
55,rt,cpu,0,3.836,1783577847436618
56,rt,cpu,0,3.655,1783577847440733
57,rt,cpu,0,3.874,1783577847445117
58,rt,cpu,0,3.967,1783577847449552
59,rt,cpu,0,3.627,1783577847453632
60,rt,cpu,0,3.791,1783577847457945
61,rt,cpu,0,3.929,1783577847462348
62,rt,cpu,0,3.708,1783577847466491
63,rt,cpu,0,4.141,1783577847471111
64,rt,cpu,0,3.619,1783577847475215
65,rt,cpu,0,4.019,1783577847479709
66,rt,cpu,0,4.000,1783577847484201
67,rt,cpu,0,3.990,1783577847488697
68,rt,cpu,0,3.946,1783577847493126
69,rt,cpu,0,3.752,1783577847497329
70,rt,cpu,0,3.790,1783577847501590
71,rt,cpu,0,4.215,1783577847506255
72,rt,cpu,0,3.721,1783577847510455
73,rt,cpu,0,3.884,1783577847514809
74,rt,cpu,0,3.784,1783577847519086
75,rt,cpu,0,3.769,1783577847523340
76,rt,cpu,0,3.767,1783577847527581
77,rt,cpu,0,4.116,1783577847532185
78,rt,cpu,0,3.974,1783577847536634
79,rt,cpu,0,3.664,1783577847540816
80,rt,cpu,0,3.827,1783577847545117
81,rt,cpu,0,3.630,1783577847549232
82,rt,cpu,0,3.735,1783577847553424
83,rt,cpu,0,3.926,1783577847557841
84,rt,cpu,0,4.061,1783577847562374
85,rt,cpu,0,3.821,1783577847566668
86,rt,cpu,0,4.114,1783577847571287
87,rt,cpu,0,4.048,1783577847575837
88,rt,cpu,0,3.951,1783577847580283
89,rt,cpu,0,3.733,1783577847584568
90,rt,cpu,0,3.684,1783577847588723
91,rt,cpu,0,3.751,1783577847592984
92,rt,cpu,0,3.920,1783577847597375
93,rt,cpu,0,3.924,1783577847601850
94,rt,cpu,0,4.062,1783577847606383
95,rt,cpu,0,3.909,1783577847610736
96,rt,cpu,0,3.298,1783577847614479
97,rt,cpu,0,3.120,1783577847618003
98,rt,cpu,0,3.105,1783577847621525
99,rt,cpu,0,3.067,1783577847624976
0,rt,memory,0,8.390,1783577920309201
1,rt,memory,0,8.386,1783577920319067
2,rt,memory,0,8.321,1783577920328289
3,rt,memory,0,8.374,1783577920337777
4,rt,memory,0,8.652,1783577920347617
5,rt,memory,0,8.366,1783577920356905
6,rt,memory,0,7.882,1783577920365969
7,rt,memory,0,8.142,1783577920375355
8,rt,memory,0,7.773,1783577920384373
9,rt,memory,0,7.685,1783577920393389
10,rt,memory,0,8.222,1783577920402841
11,rt,memory,0,10.759,1783577920414329
12,rt,memory,0,4.310,1783577920419425
13,rt,memory,0,6.875,1783577920427874
14,rt,memory,0,4.030,1783577920436870
15,rt,memory,0,3.631,1783577920440971
16,rt,memory,0,3.986,1783577920445395
17,rt,memory,0,3.612,1783577920449468
18,rt,memory,0,3.229,1783577920453143
19,rt,memory,0,3.352,1783577920456951
20,rt,memory,0,3.919,1783577920461328
21,rt,memory,0,3.198,1783577920464964
22,rt,memory,0,4.066,1783577920469461
23,rt,memory,0,3.724,1783577920473652
24,rt,memory,0,3.598,1783577920477706
25,rt,memory,0,3.450,1783577920481627
26,rt,memory,0,3.583,1783577920485658
27,rt,memory,0,3.752,1783577920489856
28,rt,memory,0,3.895,1783577920494201
29,rt,memory,0,3.508,1783577920498149
30,rt,memory,0,3.876,1783577920502461
31,rt,memory,0,3.912,1783577920506819
32,rt,memory,0,4.220,1783577920511628
33,rt,memory,0,4.693,1783577920516983
34,rt,memory,0,5.493,1783577920522973
35,rt,memory,0,3.671,1783577920527078
36,rt,memory,0,3.829,1783577920531379
37,rt,memory,0,3.457,1783577920535280
38,rt,memory,0,4.196,1783577920540074
39,rt,memory,0,4.029,1783577920544653
40,rt,memory,0,4.333,1783577920549443
41,rt,memory,0,3.404,1783577920553329
42,rt,memory,0,3.815,1783577920557627
43,rt,memory,0,3.231,1783577920561316
44,rt,memory,0,4.104,1783577920565900
45,rt,memory,0,8.965,1783577920575352
46,rt,memory,0,8.670,1783577920584528
47,rt,memory,0,6.221,1783577920591219
48,rt,memory,0,8.413,1783577920600087
49,rt,memory,0,6.913,1783577920607470
50,rt,memory,0,11.502,1783577920619413
51,rt,memory,0,6.686,1783577920626555
52,rt,memory,0,8.443,1783577920635486
53,rt,memory,0,5.433,1783577920641368
54,rt,memory,0,9.009,1783577920650843
55,rt,memory,0,3.788,1783577920655091
56,rt,memory,0,8.077,1783577920663620
57,rt,memory,0,7.442,1783577920671530
58,rt,memory,0,6.628,1783577920678611
59,rt,memory,0,7.533,1783577920686613
60,rt,memory,0,8.104,1783577920695173
61,rt,memory,0,14.074,1783577920709712
62,rt,memory,0,6.130,1783577920716313
63,rt,memory,0,11.947,1783577920728806
64,rt,memory,0,9.558,1783577920738847
65,rt,memory,0,8.921,1783577920748248
66,rt,memory,0,12.616,1783577920761364
67,rt,memory,0,14.967,1783577920776838
68,rt,memory,0,3.713,1783577920781064
69,rt,memory,0,11.620,1783577920793154
70,rt,memory,0,12.138,1783577920805778
71,rt,memory,0,9.201,1783577920815555
72,rt,memory,0,7.017,1783577920823071
73,rt,memory,0,8.508,1783577920832049
74,rt,memory,0,6.349,1783577920838883
75,rt,memory,0,6.992,1783577920846379
76,rt,memory,0,13.911,1783577920860833
77,rt,memory,0,7.762,1783577920869146
78,rt,memory,0,8.902,1783577920878523
79,rt,memory,0,9.387,1783577920892489
80,rt,memory,0,4.425,1783577920897543
81,rt,memory,0,9.379,1783577920907458
82,rt,memory,0,13.429,1783577920921386
83,rt,memory,0,7.286,1783577920929191
84,rt,memory,0,11.122,1783577920940833
85,rt,memory,0,11.497,1783577920952870
86,rt,memory,0,7.793,1783577920961177
87,rt,memory,0,9.442,1783577920971107
88,rt,memory,0,13.261,1783577920984854
89,rt,memory,0,7.806,1783577920993144
90,rt,memory,0,7.570,1783577921001178
91,rt,memory,0,11.862,1783577921013540
92,rt,memory,0,6.861,1783577921020944
93,rt,memory,0,12.970,1783577921034514
94,rt,memory,0,6.502,1783577921041612
95,rt,memory,0,15.420,1783577921057608
96,rt,memory,0,7.111,1783577921065243
97,rt,memory,0,15.717,1783577921081514
98,rt,memory,0,6.846,1783577921088873
99,rt,memory,0,7.769,1783577921097180
0,rt,io,0,6.745,1783578022949849
1,rt,io,0,6.293,1783578022957487
2,rt,io,0,7.068,1783578022965717
3,rt,io,0,7.333,1783578022974404
4,rt,io,0,6.663,1783578022982208
5,rt,io,0,7.091,1783578022990352
6,rt,io,0,7.264,1783578022998674
7,rt,io,0,7.520,1783578023007235
8,rt,io,0,7.014,1783578023015456
9,rt,io,0,7.010,1783578023023474
10,rt,io,0,7.405,1783578023031737
11,rt,io,0,6.223,1783578023039052
12,rt,io,0,5.272,1783578023044867
13,rt,io,0,5.095,1783578023050558
14,rt,io,0,5.331,1783578023056467
15,rt,io,0,5.371,1783578023062418
16,rt,io,0,5.150,1783578023068116
17,rt,io,0,5.136,1783578023073841
18,rt,io,0,5.191,1783578023079569
19,rt,io,0,5.398,1783578023085557
20,rt,io,0,5.002,1783578023091101
21,rt,io,0,5.077,1783578023096783
22,rt,io,0,5.125,1783578023102454
23,rt,io,0,5.387,1783578023108497
24,rt,io,0,5.378,1783578023114457
25,rt,io,0,5.571,1783578023120851
26,rt,io,0,5.068,1783578023126506
27,rt,io,0,5.658,1783578023132846
28,rt,io,0,5.309,1783578023138786
29,rt,io,0,5.768,1783578023145090
30,rt,io,0,5.620,1783578023151325
31,rt,io,0,4.984,1783578023156842
32,rt,io,0,5.335,1783578023162736
33,rt,io,0,4.918,1783578023168214
34,rt,io,0,4.799,1783578023173704
35,rt,io,0,4.881,1783578023179106
36,rt,io,0,5.664,1783578023185368
37,rt,io,0,4.895,1783578023190839
38,rt,io,0,5.659,1783578023197003
39,rt,io,0,4.923,1783578023202597
40,rt,io,0,4.505,1783578023207662
41,rt,io,0,4.567,1783578023212840
42,rt,io,0,5.063,1783578023218425
43,rt,io,0,4.781,1783578023223749
44,rt,io,0,5.009,1783578023229314
45,rt,io,0,4.561,1783578023234438
46,rt,io,0,5.127,1783578023240086
47,rt,io,0,4.955,1783578023245677
48,rt,io,0,4.856,1783578023251001
49,rt,io,0,4.901,1783578023256614
50,rt,io,0,4.700,1783578023261854
51,rt,io,0,4.926,1783578023267313
52,rt,io,0,5.214,1783578023273054
53,rt,io,0,5.171,1783578023278793
54,rt,io,0,4.750,1783578023284093
55,rt,io,0,4.550,1783578023289290
56,rt,io,0,5.060,1783578023294918
57,rt,io,0,4.899,1783578023300344
58,rt,io,0,4.575,1783578023305695
59,rt,io,0,4.746,1783578023310936
60,rt,io,0,4.527,1783578023315976
61,rt,io,0,4.799,1783578023321242
62,rt,io,0,4.854,1783578023326685
63,rt,io,0,4.951,1783578023332128
64,rt,io,0,4.599,1783578023337424
65,rt,io,0,4.870,1783578023342826
66,rt,io,0,5.373,1783578023348735
67,rt,io,0,4.829,1783578023354098
68,rt,io,0,4.558,1783578023359217
69,rt,io,0,4.548,1783578023364456
70,rt,io,0,4.658,1783578023369708
71,rt,io,0,4.824,1783578023375032
72,rt,io,0,5.013,1783578023380705
73,rt,io,0,5.074,1783578023386364
74,rt,io,0,4.414,1783578023391373
75,rt,io,0,4.542,1783578023396674
76,rt,io,0,4.435,1783578023401725
77,rt,io,0,4.582,1783578023406819
78,rt,io,0,4.770,1783578023412085
79,rt,io,0,4.781,1783578023417561
80,rt,io,0,4.502,1783578023422593
81,rt,io,0,4.813,1783578023427906
82,rt,io,0,5.169,1783578023433615
83,rt,io,0,5.546,1783578023439711
84,rt,io,0,4.923,1783578023445111
85,rt,io,0,4.749,1783578023450439
86,rt,io,0,5.107,1783578023456069
87,rt,io,0,4.997,1783578023461612
88,rt,io,0,4.834,1783578023466974
89,rt,io,0,4.709,1783578023472193
90,rt,io,0,4.995,1783578023477836
91,rt,io,0,4.730,1783578023483075
92,rt,io,0,5.282,1783578023488922
93,rt,io,0,4.851,1783578023494317
94,rt,io,0,4.577,1783578023499457
95,rt,io,0,4.619,1783578023504780
96,rt,io,0,4.601,1783578023509877
97,rt,io,0,4.405,1783578023514836
98,rt,io,0,4.730,1783578023520080
99,rt,io,0,4.960,1783578023525691
0,rt,combined,0,5.688,1783578253183007
1,rt,combined,0,6.181,1783578253189917
2,rt,combined,0,7.301,1783578253197804
3,rt,combined,0,7.169,1783578253205582
4,rt,combined,0,7.663,1783578253214026
5,rt,combined,0,6.623,1783578253221175
6,rt,combined,0,7.756,1783578253229591
7,rt,combined,0,7.371,1783578253237784
8,rt,combined,0,6.995,1783578253245462
9,rt,combined,0,6.685,1783578253252829
10,rt,combined,0,6.412,1783578253259943
11,rt,combined,0,6.556,1783578253267167
12,rt,combined,0,7.043,1783578253274780
13,rt,combined,0,5.313,1783578253280702
