run_id,kernel,load_type,pred_class,latency_ms,timestamp_us
19,vanilla,cpu,5,2.524,1783580769761844
20,vanilla,cpu,1,1.731,1783580769763955
21,vanilla,cpu,6,1.861,1783580769766190
22,vanilla,cpu,5,1.928,1783580769768499
23,vanilla,cpu,3,8.422,1783580769777309
24,vanilla,cpu,7,1.728,1783580769779421
25,vanilla,cpu,7,9.748,1783580769789539
26,vanilla,cpu,2,1.766,1783580769791677
27,vanilla,cpu,5,5.891,1783580769797951
28,vanilla,cpu,1,1.869,1783580769800200
29,vanilla,cpu,1,5.749,1783580769806329
30,vanilla,cpu,6,1.802,1783580769808500
31,vanilla,cpu,4,6.233,1783580769815104
32,vanilla,cpu,2,5.863,1783580769821348
33,vanilla,cpu,3,1.749,1783580769823510
34,vanilla,cpu,0,5.890,1783580769829775
35,vanilla,cpu,5,1.772,1783580769831932
36,vanilla,cpu,1,5.877,1783580769838190
37,vanilla,cpu,5,1.745,1783580769840334
38,vanilla,cpu,6,5.769,1783580769846475
39,vanilla,cpu,1,1.947,1783580769848804
40,vanilla,cpu,3,5.880,1783580769855066
41,vanilla,cpu,2,2.509,1783580769857988
42,vanilla,cpu,2,1.844,1783580769860209
43,vanilla,cpu,0,1.757,1783580769862362
44,vanilla,cpu,0,1.717,1783580769864462
45,vanilla,cpu,0,5.383,1783580769870217
46,vanilla,cpu,1,1.936,1783580769872536
47,vanilla,cpu,5,1.827,1783580769874758
48,vanilla,cpu,1,1.845,1783580769876972
49,vanilla,cpu,3,1.954,1783580769879358
50,vanilla,cpu,5,2.476,1783580769882212
51,vanilla,cpu,0,1.949,1783580769884542
52,vanilla,cpu,6,1.774,1783580769886701
53,vanilla,cpu,6,1.883,1783580769888960
54,vanilla,cpu,5,1.832,1783580769891229
55,vanilla,cpu,0,1.880,1783580769893495
56,vanilla,cpu,3,1.861,1783580769895761
57,vanilla,cpu,0,1.937,1783580769898082
58,vanilla,cpu,3,2.539,1783580769900985
59,vanilla,cpu,5,1.746,1783580769903194
60,vanilla,cpu,7,1.865,1783580769905438
61,vanilla,cpu,2,1.727,1783580769907541
62,vanilla,cpu,1,1.982,1783580769909893
63,vanilla,cpu,2,1.875,1783580769912148
64,vanilla,cpu,2,2.594,1783580769915135
65,vanilla,cpu,1,2.472,1783580769917992
66,vanilla,cpu,2,1.718,1783580769920088
67,vanilla,cpu,1,1.771,1783580769922229
68,vanilla,cpu,1,1.697,1783580769924322
69,vanilla,cpu,2,1.762,1783580769926466
70,vanilla,cpu,6,1.731,1783580769928564
71,vanilla,cpu,0,5.888,1783580769934834
72,vanilla,cpu,1,1.737,1783580769936940
73,vanilla,cpu,2,4.354,1783580769945726
74,vanilla,cpu,3,7.616,1783580769953725
75,vanilla,cpu,2,1.741,1783580769955847
76,vanilla,cpu,5,1.990,1783580769958217
77,vanilla,cpu,0,1.751,1783580769960378
78,vanilla,cpu,1,5.914,1783580769966663
79,vanilla,cpu,0,1.957,1783580769968999
80,vanilla,cpu,1,1.740,1783580769975191
81,vanilla,cpu,6,5.949,1783580769981522
82,vanilla,cpu,0,1.792,1783580769983688
83,vanilla,cpu,5,6.846,1783580769990907
84,vanilla,cpu,4,5.985,1783580769997279
85,vanilla,cpu,2,1.880,1783580769999549
86,vanilla,cpu,7,5.950,1783580770005871
87,vanilla,cpu,4,1.854,1783580770008113
88,vanilla,cpu,7,5.807,1783580770014320
89,vanilla,cpu,2,1.771,1783580770016475
90,vanilla,cpu,5,5.880,1783580770022738
91,vanilla,cpu,1,1.813,1783580770024927
92,vanilla,cpu,3,1.731,1783580770027094
93,vanilla,cpu,1,10.432,1783580770037919
94,vanilla,cpu,3,1.735,1783580770040034
95,vanilla,cpu,2,5.819,1783580770046244
96,vanilla,cpu,3,2.263,1783580770048877
97,vanilla,cpu,5,1.718,1783580770055020
98,vanilla,cpu,6,6.595,1783580770062003
99,vanilla,cpu,0,1.839,1783580770064327
0,vanilla,memory,0,8.273,1783580781450348
1,vanilla,memory,5,10.724,1783580781461802
2,vanilla,memory,6,2.694,1783580781464968
3,vanilla,memory,5,4.923,1783580781474713
4,vanilla,memory,0,8.279,1783580781483467
5,vanilla,memory,3,9.908,1783580781493877
6,vanilla,memory,1,2.719,1783580781497254
7,vanilla,memory,1,9.043,1783580781506810
8,vanilla,memory,6,6.172,1783580781513475
9,vanilla,memory,2,5.194,1783580781519167
10,vanilla,memory,7,9.805,1783580781529447
11,vanilla,memory,1,4.811,1783580781534732
12,vanilla,memory,0,8.024,1783580781543215
13,vanilla,memory,6,6.836,1783580781550552
14,vanilla,memory,3,10.720,1783580781561769
15,vanilla,memory,5,2.913,1783580781565331
16,vanilla,memory,7,8.707,1783580781574544
17,vanilla,memory,4,6.562,1783580781581610
18,vanilla,memory,5,4.514,1783580781586608
19,vanilla,memory,1,8.273,1783580781595329
20,vanilla,memory,1,2.452,1783580781598248
21,vanilla,memory,0,8.170,1783580781606873
22,vanilla,memory,5,6.570,1783580781613897
23,vanilla,memory,3,4.540,1783580781618909
24,vanilla,memory,2,8.001,1783580781627365
25,vanilla,memory,2,2.556,1783580781630373
26,vanilla,memory,7,5.016,1783580781635855
27,vanilla,memory,7,4.975,1783580781641266
28,vanilla,memory,1,5.031,1783580781646747
29,vanilla,memory,6,4.787,1783580781651945
30,vanilla,memory,5,4.703,1783580781657100
31,vanilla,memory,4,2.756,1783580781660315
32,vanilla,memory,6,4.582,1783580781665338
33,vanilla,memory,3,4.850,1783580781670672
34,vanilla,memory,3,4.746,1783580781675839
35,vanilla,memory,7,3.734,1783580781679983
36,vanilla,memory,5,4.375,1783580781684815
37,vanilla,memory,1,4.558,1783580781689862
38,vanilla,memory,3,2.738,1783580781693187
39,vanilla,memory,1,4.820,1783580781698450
40,vanilla,memory,0,4.582,1783580781703455
41,vanilla,memory,3,3.971,1783580781707936
42,vanilla,memory,3,4.169,1783580781712526
43,vanilla,memory,6,4.859,1783580781717809
44,vanilla,memory,4,3.386,1783580781721642
45,vanilla,memory,1,2.571,1783580781724590
46,vanilla,memory,1,4.898,1783580781729905
47,vanilla,memory,7,4.779,1783580781735116
48,vanilla,memory,1,4.730,1783580781740265
49,vanilla,memory,2,4.130,1783580781744861
