run_id,kernel,load_type,pred_class,latency_ms,timestamp_us
36,vanilla,cpu,1,2.262,1783387269795703
37,vanilla,cpu,1,1.914,1783387269797972
38,vanilla,cpu,1,3.148,1783387269801558
39,vanilla,cpu,1,3.201,1783387269805130
40,vanilla,cpu,1,2.264,1783387269807775
41,vanilla,cpu,1,1.754,1783387269809888
42,vanilla,cpu,1,3.212,1783387269813467
43,vanilla,cpu,1,3.127,1783387269816999
44,vanilla,cpu,1,2.243,1783387269819617
45,vanilla,cpu,1,1.690,1783387269821680
46,vanilla,cpu,4,3.080,1783387269825122
47,vanilla,cpu,1,3.380,1783387269828882
48,vanilla,cpu,1,2.360,1783387269831599
49,vanilla,cpu,1,1.699,1783387269833683
50,vanilla,cpu,1,3.029,1783387269837103
51,vanilla,cpu,1,2.990,1783387269840472
52,vanilla,cpu,1,3.064,1783387269843901
53,vanilla,cpu,1,2.856,1783387269847128
54,vanilla,cpu,1,3.026,1783387269850535
55,vanilla,cpu,1,3.031,1783387269853937
56,vanilla,cpu,1,2.005,1783387269856349
57,vanilla,cpu,1,1.759,1783387269858492
58,vanilla,cpu,1,3.105,1783387269861965
59,vanilla,cpu,1,3.277,1783387269865666
60,vanilla,cpu,1,1.982,1783387269868017
61,vanilla,cpu,1,1.901,1783387269870353
62,vanilla,cpu,1,3.103,1783387269873838
63,vanilla,cpu,1,3.221,1783387269877429
64,vanilla,cpu,4,2.440,1783387269880247
65,vanilla,cpu,1,1.750,1783387269882391
66,vanilla,cpu,1,3.468,1783387269886269
67,vanilla,cpu,1,2.694,1783387269889395
68,vanilla,cpu,1,3.057,1783387269892874
69,vanilla,cpu,4,2.538,1783387269895824
70,vanilla,cpu,1,2.689,1783387269898945
71,vanilla,cpu,1,3.088,1783387269902428
72,vanilla,cpu,1,3.233,1783387269906043
73,vanilla,cpu,1,2.145,1783387269908595
74,vanilla,cpu,1,1.810,1783387269910785
75,vanilla,cpu,1,3.417,1783387269914581
76,vanilla,cpu,1,2.750,1783387269917724
77,vanilla,cpu,1,2.967,1783387269921061
78,vanilla,cpu,1,3.180,1783387269924617
79,vanilla,cpu,1,2.536,1783387269927529
80,vanilla,cpu,1,1.751,1783387269929699
81,vanilla,cpu,1,3.146,1783387269933216
82,vanilla,cpu,1,3.356,1783387269936942
83,vanilla,cpu,1,2.117,1783387269939429
84,vanilla,cpu,1,1.684,1783387269941490
85,vanilla,cpu,1,2.851,1783387269944719
86,vanilla,cpu,4,3.316,1783387269948454
87,vanilla,cpu,1,3.129,1783387269951947
88,vanilla,cpu,1,2.186,1783387269954525
89,vanilla,cpu,1,2.965,1783387269957859
90,vanilla,cpu,1,2.848,1783387269961078
91,vanilla,cpu,1,2.396,1783387269963844
92,vanilla,cpu,1,2.837,1783387269967048
93,vanilla,cpu,1,1.711,1783387269969162
94,vanilla,cpu,1,2.429,1783387269971956
95,vanilla,cpu,1,3.273,1783387269975594
96,vanilla,cpu,1,2.989,1783387269978955
97,vanilla,cpu,1,1.914,1783387269981226
98,vanilla,cpu,1,2.784,1783387269984388
99,vanilla,cpu,1,3.125,1783387269987872
0,vanilla,memory,4,5.078,1783388153639278
1,vanilla,memory,1,3.615,1783388153644094
2,vanilla,memory,1,4.651,1783388153649620
3,vanilla,memory,1,5.756,1783388153656350
4,vanilla,memory,1,5.692,1783388153662894
5,vanilla,memory,1,4.704,1783388153668473
6,vanilla,memory,1,4.461,1783388153673858
7,vanilla,memory,1,4.834,1783388153679603
8,vanilla,memory,1,12.324,1783388153693351
9,vanilla,memory,1,18.276,1783388153714507
10,vanilla,memory,1,17.589,1783388153734677
11,vanilla,memory,1,14.142,1783388153751193
12,vanilla,memory,1,12.666,1783388153766209
13,vanilla,memory,1,14.308,1783388153782977
